"podcast";"number";"date";"year";"month";"weekday";"duration";"title";"host";"guest";"category";"topic";"summary"
"Bonus Track";"102b";2012-08-12;"2012";"August";"Sunday";26.65;"Extremely Weird and Made Me Think of You";"Jason Snell";"Andy Ihnatko, Serenity Caldwell, Dan Moren";"Not provided";"The Incomparable #102";"Jason, John, Dan, Ren, and Andy talk about Skype problems, try to record a podcast (and eventually succeed), do Scottish accents, recommend Anime, and much more"
"The Incomparable";"101";2012-08-05;"2012";"August";"Sunday";62.8333333333333;"Insular Nerdosphere";"Jason Snell";"Glenn Fleishman, Scott McNulty, Serenity Caldwell";"Not provided";"Not provided";"Our Book Club discusses “Redshirts” by John Scalzi. It’s a book that’s far more complex than its elevator-pitch premise would suggest, but did our panel appreciate its winking narrative-within-narrative structure? And more broadly, why are we worried about some of our favorite geek creators turning inward and pandering to the nerd audience"
"Bonus Track";"101b";2012-08-05;"2012";"August";"Sunday";4.33333333333333;"Bang S";"Jason Snell";"Serenity Caldwell, Glenn Fleishman, Scott McNulty";"Not provided";"Not provided";"Jason, Ren, Glenn, and Scott after The Incomparable 101"
"The Incomparable";"100";2012-07-25;"2012";"July";"Wednesday";79.6833333333333;"Who Cares What We Think?";"Jason Snell";"Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz";"Not provided";"Not provided";"In our hundredth episode, we take a look at why we do The Incomparable. Can entertainment be appreciated without analysis and criticism? We also discuss how The Incomparable came to be, and pick some of our favorite (and least favorite) moments. Please forgive us for this self-indulgent meta-episode. We promise not to do another one until number 200"
"Bonus Track";"100b";2012-07-24;"2012";"July";"Tuesday";9.48333333333333;"Wiped Clean Like Gym Equipment";"Jason Snell";"Glenn Fleishman, John Siracusa";"Not provided";"The Incomparable #100";"After The Incomparable #100"
"The Incomparable";"99";2012-07-16;"2012";"July";"Monday";82.7666666666667;"Convenience Store Clerk of Dune (A Summer Reading List)";"Jason Snell";"Dan Moren, Glenn Fleishman, Lex Friedman, Scott McNulty, Serenity Caldwell";"Books";"Summer Reading List";"Summer’s here and it’s time to get to the beach with a good sci-fi novel. Our panelists are well read and of exquisite taste, so we’ve got a boatload of suggestions for you. From funny to serious, there’s a book in our list that will hit the spot the next time you’re looking for something to read"
"Bonus Track";"99b";2012-07-15;"2012";"July";"Sunday";7.61666666666667;"Fifty Shades of Glenn";"Jason Snell";"Dan Moren, Glenn Fleishman";"Not provided";"Not provided";"After The Incomparable #99"
"The Incomparable";"98";2012-07-07;"2012";"July";"Saturday";89.6833333333333;"Obscure References and Sadness";"Lex Friedman";"Greg Knauss, John Siracusa, Scott McNulty, Jonathan Coulton, Jason Snell";"Music";"Jonathan Coulton.";"We tackle the works of Jonathan Coulton as our Geek Music Appreciation series continues. Join guest host Lex Friedman as he and our panelists build a JoCo playlist and discuss why Coulton has so much geek appeal. But just because Lex is guest-hosting doesn't mean that Jason Snell won't make a dramatic appearance at the end, so keep listening"
"The Incomparable";"97";2012-07-01;"2012";"July";"Sunday";59.1;"Everybody Loves Hypnotoad";"Glenn Fleishman";"Andy Ihnatko, Jon Seff, Dean Putney";"Shows";"“Futurama”";"Good news, everyone! We’re here to talk about the animated TV comedy “Futurama.” Join guest host Glenn Fleishman, special guest Andy Ihnatko, and virgin guests Jonathan Seff and Dean Putney as we discuss Bender, Fry, Dr. Zoidberg, and even Morbo"
"The Incomparable";"96";2012-06-24;"2012";"June";"Sunday";80.7;"Space Fedora";"Jason Snell";"Glenn Fleishman, Monty Ashley, Scott McNulty";"Books";"2012 Hugo Award nominees";"The 2012 Hugo Award Nominees. Of all the sci-fi novels published in the last year, these are five of them! (And four aren’t actually sci-fi.) But that hasn’t stopped us from reading them and giving you our opinions. Join our book club as we talk about five books and pick our favorites. Plus: Vomit Zombies! A unique novel-sponsorship opportunity for Coca-Cola! Our near-unconditional love of author Jo Walton! And what the locusts are reading this year"
"Bonus Track";"96b";2012-06-24;"2012";"June";"Sunday";14.5333333333333;"Barney Miller in Space";"Jason Snell";"Scott McNulty, Glenn Fleishman, Monty Ashley";"Not provided";"The Incomparable #96";"Jason, Scott, Glenn, and Monty after The Incomparable episode 96"
"The Incomparable";"95";2012-06-16;"2012";"June";"Saturday";91.3666666666667;"Don’t Take the Cinnamon Challenge";"Jason Snell";"Dan Moren, John Siracusa, Monty Ashley, Serenity Caldwell";"Shows";"Not provided";"Unfurl your banners, steal some dragons, slap your insolent nephew, and get ready to listen to us discuss the second season of HBO’s “Game of Thrones” in this special live session. Plus, John explains the Internet to Jason"
"Bonus Track";"95b";2012-06-16;"2012";"June";"Saturday";3.28333333333333;"Jason Recommends “Girls” to John";"Jason Snell";NA;"Not provided";"The Incomparable #95";"Jason, John, Dan, Ren and Monty in some outtakes removed from the live recording of The Incomparable episode 95"
"The Incomparable";"94";2012-06-10;"2012";"June";"Sunday";70.2666666666667;"If You Think It’s Funny, That’s Fine, You’re Wrong";"Jason Snell";"Andy Ihnatko, Dan Moren, Scott McNulty, Serenity Caldwell";"Not provided";"Not provided";"We travel to where geekiness and comedy come together, to discuss our favorite geek TV comedies. From traditional sitcoms to animation to movie commentary, we’ve got you covered. Plus there’s a lot of singing"
"Bonus Track";"94b";2012-06-09;"2012";"June";"Saturday";11.65;"BBC";"Jason Snell";"Scott McNulty, Andy Ihnatko";"Not provided";"The Incomparable #94";"Jason, Scott, Andy, Dan, and Ren talk about the Queen"
"The Incomparable";"93";2012-06-03;"2012";"June";"Sunday";73.6666666666667;"Monstor";"Jason Snell";"Scott McNulty, Serenity Caldwell";"Books";"“Ship Breaker” and “The Drowned Cities”";"Our book club takes a dive into the world of Paolo Bacigalupi, covering his award-winning novel “Ship Breaker” as well as its recently-released follow-up, “The Drowned Cities.” These books are apparently considered YA (or Young Adult) fiction, leading us to discuss what that label means, if anything. We also talk about Bacigalupi’s particular brand of eco-apocalypse, his use of science fiction to make us reconsider what’s going on today in the world, and how to pronounce his name. And of course, we coin a new word: it’s half monster, half mentor, all Scott McNulty"
"Bonus Track";"93b";2012-06-02;"2012";"June";"Saturday";11.3833333333333;"I Am So Lonely";"Jason Snell";"Scott McNulty";"Not provided";"The Incomparable #93";"Jason and Scott talk after The Incomparable 93"
"The Incomparable";"92";2012-05-27;"2012";"May";"Sunday";94.2;"Nick Fury’s Google Hangout";"Jason Snell";"Andy Ihnatko, Dan Moren, John Siracusa, Ben Boychuk";"Movies";"“The Avengers”";"Avengers assemble! We discuss Joss Whedon’s Marvel movie, which has been a hit with audiences and critics. But some members of our panel don’t agree. How much do expectations factor in to one’s enjoyment of a movie? Has the bar for summer action blockbusters been set too low by the likes of “Transformers 2”? Should every action-adventure movie aspire to be something more? Why is this the first time that the Hulk has been portrayed properly in a film? Grab your cosmic cubes and prepare for 90 minutes of movie-smashing discussion"
"Bonus Track";"92b";2012-05-26;"2012";"May";"Saturday";16.1833333333333;"B-Minus";"Jason Snell";"Andy Ihnatko, Dan Moren";"Not provided";"The Incomparable #92";"Jason, John, Andy, Dan, and Ben talk even more about “The Avengers"
"The Incomparable";"91";2012-05-20;"2012";"May";"Sunday";70.2;"The Hungry Tributes of Catan";"Jason Snell";"Lisa Schmeiser, Serenity Caldwell";"Books";"“The Hunger Games” book series.";"From despotic rulers to lethal hummingbirds, it’s time for us to address the cultural phenomenon of “The Hunger Games.” Join us as we discuss the movie and original book, as well as (following carefully placed Spoiler Horns) the other two books in the trilogy. Why do all households in Panem get the Bravo network? Should “1984” be a Little Golden Book? And why does Lisa know which district of Panem is in charge of making lumber? This episode has the odds ever in its favor"
"The Incomparable";"90";2012-05-13;"2012";"May";"Sunday";60.85;"A Suspiciously Efficient Morgue";"Jason Snell";"Dan Moren, Greg Knauss, John Siracusa";"Not provided";"Not provided";"Take off all your clothes and set the lock code on your mobile phone! It’s time for us to discuss the second season of the BBC’s “Sherlock,” starring Benedict Cumberbatch and Martin Freeman. We walk through all three movie-length episodes, starting with the exemplary “Scandal in Belgravia,” moving on to the not-so-exemplary “Hounds of Baskerville,” and concluding with the mind-blowing “Reichenbach Fall"
"The Incomparable";"89";2012-05-07;"2012";"May";"Monday";90.9166666666667;"Also Known as Endor";"Jason Snell";"Dan Moren, John Siracusa, Serenity Caldwell";"Movies";"“Return of the Jedi” (part 2)";"We wrap up our six-part series on the classic “Star Wars” movies with the climactic final half of “Return of the Jedi.” We discuss how the Empire is ahead of the rebels every step of the way, question Luke’s choice of forest camouflage, and explain why Ewoks are better unsubtitled. Also, how is Luke’s journey to being a Jedi not like what you see in most action movies? Who is more heroic in the end, Luke or Vader? Why does the Emperor wait so long to show us his lightning fingers? Why are rebel ships equipped with fireworks? And is Endor the name of the moon, or the name of the planet the moon is orbiting, or both"
"Bonus Track";"90b";2012-05-03;"2012";"May";"Thursday";27.8833333333333;"Hello, Chat Room";"Jason Snell";"Greg Knauss, Dan Moren, John Siracusa";"Not provided";"The Incomparable #90";"Jason, John, Dan and Greg try broadcasting live on 5by5 for the first time with The Incomparable episode 90. Plus: Why The Incomparable smells like cheese"
"The Incomparable";"88";2012-04-30;"2012";"April";"Monday";73.95;"Skywalker’s Eleven";"Jason Snell";"Dan Moren, John Siracusa, Serenity Caldwell";"Not provided";"“Return of the Jedi” (part 1)";"We tackle the last of the classic “Star Wars” trilogy, “Return of the Jedi.” Why does Jabba the Hutt enjoy avant-garde wall hangings and ’80s dance moves? Isn’t it sad how Boba Fett goes out with a whimper? Are the alien languages in “Star Wars” too fake-sounding? And what’s up with Leia’s metal bikini? (Part 1 of 2"
"The Incomparable";"87";2012-04-23;"2012";"April";"Monday";48.1333333333333;"Where Do the Dragons Go to the Bathroom?";"Glenn Fleishman";"Lisa Schmeiser, Sarah Barbour";"Books";"Dragons!";"Here be dragons! Special guest hosts Glenn Fleishman and Lisa Schmeiser discuss books featuring winged and scaly creatures, from Anne McCaffrey to George R.R. Martin. Glenn and Lisa are joined by special guest stars Dori Smith and Sarah Barbour, who are also knowledgeable in the ways of the dragon"
"The Incomparable";"86";2012-04-14;"2012";"April";"Saturday";73.6166666666667;"Like “Catcher in the Rye,” Except Crappier";"Jason Snell";"Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell";"Not provided";"Not provided";"Get out your magic wands, prepare your incantations, and prepare for a battle of wills involving ancient powers and callow youths. We discuss two recent novels with magic at the fore: Lev Grossman’s “The Magicians” and Erin Morgenstern’s “The Night Circus.” One of them we liked a lot… the other, not so much! Prepare yourself for a magical podcast"
"Bonus Track";"86b";2012-04-14;"2012";"April";"Saturday";17.5;"Dragon Loving is a Personal Question";"Jason Snell";"Dan Moren, Serenity Caldwell";"Not provided";"The Incomparable #86";"Jason and guests after The Incomparable #86"
"The Incomparable";"85";2012-04-01;"2012";"April";"Sunday";82.2666666666667;"Game Show";"Jason Snell";"Dan Moren, Glenn Fleishman, Greg Knauss, John Siracusa, Scott McNulty";"Not provided";"Not provided";"It’s the Incomparable Game Show! In a clash of young(ish) versus old(ish), two teams vie for the honor of being the team who wins. Sci-fi questions, confused androids, and a visit from a parallel-universe version of The Incomparable are all part of the story. You’ll laugh, you’ll cry, and you won’t learn a darned thing. Join us, won’t you"
"Bonus Track";"85b";2012-04-01;"2012";"April";"Sunday";46.8833333333333;"Alternate Universe Edition";"Lex Friedman";"Ben Boychuk, Dan Frakes";"Not provided";"Just another episode";"A version of The Incomparable #85 that fell through a wormhole from a parallel universe. Host Lex Friedman joins four guests and asks them a series of tough questions"
"The Incomparable";"84";2012-03-25;"2012";"March";"Sunday";93.1;"Wind is the Enemy";"Jason Snell";"John Siracusa";"Movies";"The films of Hayao Miyazaki";"Please join us for Jason and John’s survey of the films of director Hayao Miyazaki. Even if you don’t have kids, like animation, or care about Japan, we think these are some of the greatest films ever made. From “My Neighbor Totoro” and “Kiki’s Delivery Service” to “Spirited Away” and “Nausicaa,” we cover the highlights (and oddities) of his filmmaking career"
"The Incomparable";"83";2012-03-17;"2012";"March";"Saturday";71.4666666666667;"Nothing Ever Ends on Taco Tuesday";"Jason Snell";"Lisa Schmeiser, Ben Boychuk, Steve Lutz, Tony Sindelar";"Not provided";"Watchmen";"Who Watches the Watchmen? We discuss Alan Moore and Dave Gibbons’s classic comic “Watchmen.” What made it remarkable and influential? Is it too stuck in an ’80s sensibility? Did the movie ruin everything? And will the recently-announced prequels stink"
"Bonus Track";"82b";2012-03-12;"2012";"March";"Monday";6.28333333333333;"Yonkahs!";"Jason Snell";"Scott McNulty, John Siracusa, Lisa Schmeiser";"Not provided";"The Incomparable #82";"Jason, John, Lisa, and Scott after The Incomparable #82"
"The Incomparable";"82";2012-03-10;"2012";"March";"Saturday";71.2666666666667;"Apocalypse Book Club";"Jason Snell";"John Siracusa, Lisa Schmeiser, Scott McNulty";"Not provided";"Not provided";"It’s the end of the world! And since our eyeglasses are intact, we have time enough at last, to read. We discuss Maureen McHugh’s “After the Apocalypse” short-story collection, Cormac McCarthy’s “The Road,” and other apocalypse tales we have known. Do zombies have their own David Attenborough, leading expeditions into Cleveland? Why should you be afraid if heavy snowfall combines with the appearance of strange invisible magic ghost sex-dragon monsters? And why does John Siracusa plan to ride out the apocalypse in style? We ask several of these questions, but you’ll have to listen to see if we ever answer any of them"
"The Incomparable";"81";2012-03-05;"2012";"March";"Monday";53.7333333333333;"McRibs and Bacon Martinis";"Jason Snell";"Dan Moren, Greg Knauss, Lex Friedman, Scott McNulty, Serenity Caldwell, Steve Lutz";"Not provided";"Not provided";"We close the books on the first Incomparable Film Festival with this special follow-up episode. We provide the show times for each day of the festival, share your feedback, and reveal the results of your vote for the best slate of films. We also check in with two panelists who couldn’t make the original draft, one of whom has a bone to pick with John Siracusa. The other one instead tells a heartwarming tale of projectile vomiting. (Part 3 of 2"
"The Incomparable";"80";2012-02-25;"2012";"February";"Saturday";57.3166666666667;"Khan Film Festival";"Jason Snell";"Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz";"Not provided";"Not provided";"Continuing our assembly of the Incomparable Film Festival! We fill out our list of 35 classic films for imaginary display to imaginary crowds. Find out our final 21 (or is it 22?) choices! Then vote for your favorites. (Part 2 of 2"
"Bonus Track";"79b";2012-02-24;"2012";"February";"Friday";12.05;"After the Movie Draft";"Jason Snell";"Dan Moren, Serenity Caldwell";"Not provided";"The Incomparable #79";"After the mammoth Incomparable Movie Draft recording session that created The Incomparable episodes 79 and 80"
"The Incomparable";"79";2012-02-19;"2012";"February";"Sunday";65.9333333333333;"Everything Sounds Beautiful in German";"Jason Snell";"Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz";"Not provided";"Not provided";"We’re creating the Incomparable Film Festival! Each day for a week, one of us will introduce five films (to be screened at an imaginary location not to be determined). To prevent duplication of selections, our seven participants will choose favorite films in a draft format. When all is said and done, 35 classic movies will be chosen by our panel of geeks. (Part 1 of 2"
"The Incomparable";"78";2012-02-11;"2012";"February";"Saturday";58.3666666666667;"Clones and Telepaths vs. Love";"Jason Snell";"Lisa Schmeiser";"Not provided";"Not provided";"Our Comic Book Club gets in a romantic mood with a discussion of comic-book romances—the (very) few that have stood the test of time and the (very) many that have been thwarted by clones, telepaths, cloned telepaths, and—worst of all—Satan’s Annulment. Also, what are we reading"
"The Incomparable";"77";2012-02-05;"2012";"February";"Sunday";72.6666666666667;"Women’s Libber";"Jason Snell";"Dan Moren, John Siracusa, Lisa Schmeiser, Serenity Caldwell";"Not provided";"Not provided";"Step through your time portal, buy some cheap 1950s hamburger, and prepare for our discussion of Stephen King’s new novel 11/22/63. How does a 21st century man react to the racism and sexism of the south in the mid-20th century? Would the world have been a better place if Kennedy hadn’t been assassinated? Is Canada really eyeing the state of Maine anxiously? Like the book, we have some—but not all—of the answers"
"Bonus Track";"77b";2012-02-04;"2012";"February";"Saturday";37.9666666666667;"Stephen King";"Jason Snell";"Lisa Schmeiser, Serenity Caldwell";"Not provided";"The Incomparable #77";"Lots and lots and lots about Stephen King, after The Incomparable 77"
"The Incomparable";"76";2012-01-29;"2012";"January";"Sunday";45.4666666666667;"Robert Redford’s Foot";"Jason Snell";"Dan Moren, Glenn Fleishman, Serenity Caldwell";"Not provided";"Not provided";"Live from the Macworld |iWorld Live Stage, it’s a discussion of our favorite (and least favorite) uses of technology in movies, TV shows, books, and more"
"The Incomparable";"75";2012-01-21;"2012";"January";"Saturday";59.4833333333333;"My Gazebox is Full of Menhirs";"Jason Snell";"Greg Knauss, Monty Ashley, Steve Lutz";"Not provided";"Not provided";"Go north, get lamp, and check your inventory, as guest host Greg Knauss takes you on a journey into the world of interactive fiction, also known as “text adventures.” Did families in the ’80s really sit around the Apple II playing “Mystery House?” Will saving a game really erase your floppy disc? Listen if you dare, but watch out for grues"
"The Incomparable";"74";2012-01-16;"2012";"January";"Monday";60.8166666666667;"I’m Definitely Not a Girl";"Jason Snell";"John Siracusa, Lex Friedman";"Not provided";"Not provided";"It’s fun for the whole family, as we discuss some of our favorite movies for kids (and their parents). Did we really recommend an animated movie from Dreamworks? And a movie with Melanie Griffith? And a German fantasy film? Well, yes, but you’ll have to listen to find out which ones"
"Bonus Track";"74b";2012-01-15;"2012";"January";"Sunday";10.95;"Free to Be You and Me";"Jason Snell";"John Siracusa, Lex Friedman";"Not provided";"The Incompaable #74";"Jason Snell, John Siracusa, and Lex Friedman after The Incomparable #74. “Free to Be You and Me,” and an idea for Lex’s new podcast"
"The Incomparable";"73";2012-01-08;"2012";"January";"Sunday";64.0333333333333;"Ugh - A 2011 Clip Show";"Jason Snell";"Dan Moren, Scott McNulty, Serenity Caldwell, Steve Lutz";"Not provided";"Not provided";"We bid farewell to 2011 by listing the favorite things we inhaled into our brains during the past year. We also recall our favorite podcast moments, read a whole bunch of listener comments, and more. (Although this is a clip show, two-thirds of the running time is actually original material"
"The Incomparable";"72";2011-12-26;"2011";"December";"Monday";40.5;"The Screams of Trees";"Jason Snell";"Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell";"Shows";"Not provided";"All hail the power of motherhood! We discuss this year’s “Doctor Who” Christmas special, “The Doctor, the Widow, and the Wardrobe.” Plus, why Christmas episodes make us feel warm inside, and the amazing scanner-blocking powers of wool"
"The Incomparable";"71";2011-12-18;"2011";"December";"Sunday";70.4666666666667;"The Holiday Movie Vault";"Jason Snell";"Andy Ihnatko, Dan Frakes, Glenn Fleishman, Serenity Caldwell, Steve Lutz";"Shows";"Favorite holiday movies and TV";"Grab some eggnog and hitch up your reindeer! It’s time to put six holiday films in the Incomparable Film Vault! We discuss some beloved classics and offer a few surprise choices that redefine what “holiday” and “film” actually mean. What is a realistic depiction of Santa? Is Bill Murray’s best Scrooge not actually in “Scrooged”? Has Clarence the angel left a trail of dead bodies behind him? Is Kris Kringle the original Apple Genius? Happy holidays, everyone"
"The Incomparable";"70";2011-12-10;"2011";"December";"Saturday";70.95;"At the Time, They Were Just Average Height";"Glenn Fleishman";"Lex Friedman, Scott McNulty, Jason Snell";"Music";"They Might Be Giants.";"It turns out we all like They Might Be Giants! So we did an entire episode about geeky music. We pick favorite TMBG songs, and then bring up some other geeky tracks we love by Fountains of Wayne, Moxy FrÃ¼vous, and “Weird Al” Yankovic"
"Bonus Track";"70b";2011-12-10;"2011";"December";"Saturday";9.83333333333333;"They May Be Giants";"Glenn Fleishman";"Lex Friedman, Scott McNulty, Jason Snell";"Not provided";"The Incomparable #70";"Glenn, Jason, Lex, and Scott after The Incomparable 70"
"The Incomparable";"69";2011-12-05;"2011";"December";"Monday";75.5166666666667;"Love Conquers All, But So Do Guns";"Jason Snell";"Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell";"Not provided";"Not provided";"Break out your gaming laptop and pass the ammunition: It’s time to discuss Neal Stephenson’s “REAMDE.” Why does the book’s plot take a hard left turn halfway through? Why does Stephenson struggle to write endings—and does he succeed this time? Is this book about family, the victory of the outsider, or blowing things up? (Can’t it be all three"
"The Incomparable";"68";2011-11-25;"2011";"November";"Friday";87.15;"Jedi Weekend";"Jason Snell";"Dan Moren, John Siracusa, Serenity Caldwell";"Not provided";"“The Empire Strikes Back” (part 2)";"Gather some bounty hunters and warm up the carbon freezer! It’s time for the conclusion of our epic discussion of “The Empire Strikes Back.” We dissect the evolution of the Han-Leia relationship, the truly playful nature of Yoda and the importance of Dagobah, Vader’s agenda and his crunchy gloves, and Luke’s continuing adventures with garbage"
"Bonus Track";"67b";2011-11-25;"2011";"November";"Friday";18.2666666666667;"The Podcast Strikes Back";"Jason Snell";"John Siracusa, Dan Moren, Serenity Caldwell";"Not provided";"The Incomparable #67";"Jason, Dan, Ren, and John after The Incomparable #67-68. Three hours of talking about “The Empire Strikes Back” and we still couldn’t say goodbye"
"The Incomparable";"67";2011-11-20;"2011";"November";"Sunday";84.9;"Darth Vader’s Office is Really Weird";"Jason Snell";"Dan Moren, John Siracusa, Serenity Caldwell";"Not provided";"Not provided";"Launch your probe droids and cut open your tauntaun! It’s time for part one of our two-part discussion of “The Empire Strikes Back.” Does Han Solo just want to be loved? Is Chewie sabotaging the Falcon on purpose? Why is snowy Hoth the setting? Why is Ben Kenobi a man of few words? Who’s scruffy-lookin’? And what is the purpose for Darth Vader’s clamshell office, anyway"
"The Incomparable";"66";2011-11-14;"2011";"November";"Monday";60;"Regular People Like Us";"Jason Snell";"Dan Moren, John Siracusa, Scott McNulty, Serenity Caldwell, Monty Ashley";"Books";"“Ready Player One”";"Ernest Cline’s “Ready Player One” is a sci-fi novel that’s chock full of references to 1980s culture. But is it a good book, or are the references all that it’s got going for it? What will John Hughes movies be like in the future? And what do Cline, P.G. Wodehouse, and Umberto Eco have in common"
"The Incomparable";"65";2011-11-06;"2011";"November";"Sunday";80.7666666666667;"Maine is Purgatory";"Jason Snell";"Dan Moren, Lisa Schmeiser, Scott McNulty, John Siracusa, Ben Boychuk";"Not provided";"Not provided";"A new TV season is here! We analyze the new shows, plus some returning favorites. Among our targets: Revenge, Homeland, Terra Nova, Once Upon a Time, Grimm, Person of Interest, American Horror Story, Ringer, A Gifted Man, Boss, and returning shows The Walking Dead, Fringe, Community, Supernatural, Haven, and Dexter. Also: Why does Scott McNulty think every show is Prime Suspect"
"The Incomparable";"64";2011-10-30;"2011";"October";"Sunday";82.8166666666667;"Ghosts Cause Cancer";"Jason Snell";"Dan Moren, Serenity Caldwell, Ben Boychuk";"Not provided";"Not provided";"When you want to get in the Halloween spirit, who you gonna call? Join us in celebrating 1984’s supernatural comedy classic, “Ghostbusters.” Are ghosts a serious environmental hazard requiring the intervention of the EPA? Why do the Ghostbusters transform from college professors into blue-collar plumbers when they put on their jump suits? Is Roasted Terror Dog with Human Nougat the worst candy ever devised? And which one of our panelists attended a cat-themed bat mitzvah in the same ballroom destroyed by the Ghostbusters"
"The Incomparable";"63";2011-10-27;"2011";"October";"Thursday";48.8833333333333;"Like a Good Book Exploded";"Jason Snell";"Dan Moren, John Siracusa, Scott McNulty, Serenity Caldwell";"Books";"“The Wise Man’s Fear”";"Is Patrick Rothfuss’s “The Wise Man’s Fear” a rich fantasy novel about storytelling and myth-making, or is it a collection of good story elements scattered across an overlong plot? Could it be both? Ninjas! Off-camera shipwrecks! Board games! Sexism! Off-camera courtroom drama! Discursions within digressions within framing sequences! Join us as we discuss yet another 1000-page fantasy novel, the sequel to “The Name of the Wind"
"The Incomparable";"62";2011-10-23;"2011";"October";"Sunday";43.1333333333333;"The Pig is Chekhov’s Gun";"Jason Snell";"Dan Moren, Scott McNulty, Serenity Caldwell";"Books";"“A Dance With Dragons”";"We discuss “A Dance With Dragons,” the latest 1000-page installment in George R.R. Martin’s bestselling “Song of Ice and Fire” fantasy series. Is this series going to end well? Which parts of this book were good, and which just treaded water? Would adding Klingons have helped? Why are trees the Westeros equivalent of security cameras? These are the sorts of questions you ask deep in the middle of a long fantasy series"
"The Incomparable";"61";2011-10-15;"2011";"October";"Saturday";60.1166666666667;"Number Ones";"Jason Snell";"Dan Benjamin, Faith Korpi, Lisa Schmeiser";"Not provided";"Not provided";"Our Comic Book Club tackles the topic of #1 issues, especially those in DC’s recent relaunch. We recommend some books and talk about some of our favorite Number Ones. Also we touch on a few of the controversial #1 DC issues and question whether DC is really trying to reach a new audience or just pander to the old one"
"The Incomparable";"60";2011-10-08;"2011";"October";"Saturday";66.3166666666667;"Thanks For Everything… Now Go Die";"Jason Snell";"Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell";"Shows";"Not provided";"Why do secret agents wear make-up under their eyepatches? When do text messages not properly convey thanks for saving the universe? Are the Cybermen the worst villians ever? We wrap up the sixth season of “Doctor Who” with discussion of the last three episodes as well as the season as a whole"
"The Incomparable";"59";2011-10-03;"2011";"October";"Monday";81.5333333333333;"Flitting is in (TV Fantasy Pitches)";"Jason Snell";"Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz";"Not provided";"Not provided";"We conclude our TV Fantasy Draft with the unveiling of our series pitches. Vampire and ghost detectives! Star Trek meets the West Wing! A sitcom starring a robot and an omnipotent being! A gritty techno-drama. A psychedelic drama set on a Zeppelin! And John Siracusa’s pitch seems awfully familiar somehow"
"The Incomparable";"58";2011-09-24;"2011";"September";"Saturday";74.25;"Greyskull Anonymous (TV Fantasy Draft)";"Jason Snell";"Dan Moren, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz";"Not provided";"Not provided";"Who are the best TV characters of all time? Six people set out to draft teams of 10 characters each, from which they would form some of the strangest TV ensembles ever seen. Will Captain Kirk, Columbo, and The Fonz end up on the same show? Perhaps the craziest episode we’ve ever done highlights dozens of our favorite characters from TV history"
"The Incomparable";"57";2011-09-18;"2011";"September";"Sunday";61.4666666666667;"Weird Subplots About Fondue";"Jason Snell";"Dan Moren, Monty Ashley, Tony Sindelar";"Not provided";"Not provided";"This past summer’s superhero movies are in the spotlight! Are the gods just aliens? When are mutant strippers unrealistic? Why would you beat up people after costing them their jobs? And why do the Stark boys enjoy themselves—and cheesy foodstuffs—so much? Our esteemed panel breaks down how “Captain America,” “Thor,” “X-Men: First Class,” and “Green Lantern” fared"
"The Incomparable";"56";2011-09-12;"2011";"September";"Monday";58.1833333333333;"Let Me in the Frickin’ TARDIS!";"Jason Snell";"Dan Moren, John Siracusa, Glenn Fleishman, Scott McNulty, Serenity Caldwell";"Not provided";"Not provided";"Press the Green Anchor and jump into a parallel timestream: it’s time to talk “Doctor Who.” In this flash episode we deconstruct the two most recent episodes, “Night Terrors” and “The Girl Who Waited.” And here’s a hint: we liked one of them way more than the other"
"The Incomparable";"55";2011-09-05;"2011";"September";"Monday";61.1666666666667;"If a Show Never Airs, Can It Be Cancelled?";"Jason Snell";"Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell";"Not provided";"Not provided";"This podcast is cancelled! We discuss TV shows that failed to reach their proper natural lifespan. When all is said and done, you’ll hear recommendations for 25 excellent series that burned bright and weren’t allowed to fade away. Fantasy football drafts were never this good"
"Bonus Track";"55b";2011-09-04;"2011";"September";"Sunday";19.6333333333333;"Stuff Cancelled from the Cancelled Shows Draft";"Jason Snell";"Dan Moren, Glenn Fleishman";"Not provided";"Not provided";"Episode 55 ran long, so we cut 20 minutes—including all of us listing the shows we didn’t pick. This stuff isn’t in the podcast feed, but it’s available here"
"The Incomparable";"54";2011-08-30;"2011";"August";"Tuesday";65.7166666666667;"Put on this Mask and Strut for Mama";"Jason Snell";"Lisa Schmeiser";"Not provided";"Not provided";"Strap on your jet pack and locate your pet monkey! Our Comic Book Club reconvenes to discuss works by writer Brian K. Vaughan, who excels at the high-concept premise. In the spotlight: “Runaways,” “Y: The Last Man,” and “Ex Machina.” With plenty of digressions along the way, about feminism, parenting, sexism, and (once again) how hard it is to write an ending"
